hour,month,day_of_week,is_weekend,pm25,pm10,so2,nox,no2,co,wind_speed,temperature,humidity,pm_ratio,nox_so2_ratio,label
9,2,2,0,130.14,141.68,9.16,33.3,20.34,0.493,1.14,20.7,80.1,0.919,3.636,seasonal_inversion
9,12,2,0,72.44,139.15,6.43,130.76,87.59,2.019,0.95,29.4,47.6,0.521,20.331,vehicular
6,11,0,0,224.84,269.21,104.53,33.43,15.92,0.607,2.86,30.5,66.3,0.835,0.32,industrial
20,4,3,0,78.53,103.17,8.38,80.09,41.73,1.675,1.75,34.9,62.8,0.761,9.556,vehicular
9,6,2,0,35.5,21.04,3.5,121.04,86.62,3.383,2.16,32.6,31.3,1.688,34.552,vehicular
5,11,5,1,49.46,51.93,18.24,33.25,23.65,1.308,0.29,13.9,44.2,0.952,1.823,seasonal_inversion
6,4,0,0,135.29,170.36,61.77,3.34,-1.95,0.697,1.69,31.0,61.6,0.794,0.054,industrial
9,7,3,0,83.56,167.14,3.76,61.89,46.44,3.495,2.06,30.8,30.3,0.5,16.472,vehicular
10,2,3,0,132.8,222.35,18.97,11.63,8.3,0.655,0.8,17.5,80.0,0.597,0.613,seasonal_inversion
1,1,2,0,114.7,118.31,77.15,10.9,10.19,0.129,3.0,30.3,76.4,0.97,0.141,industrial
11,12,2,0,104.85,287.44,10.21,36.14,16.23,1.443,3.14,32.5,39.2,0.365,3.539,agricultural_burning
6,1,4,0,83.65,135.19,26.0,19.23,11.55,0.68,0.92,15.5,92.0,0.619,0.74,seasonal_inversion
9,10,1,0,97.62,123.88,7.32,83.68,40.62,3.704,2.19,38.2,67.9,0.788,11.425,vehicular
7,8,3,0,78.53,120.53,4.29,83.37,42.46,2.959,0.97,31.6,47.5,0.652,19.451,vehicular
18,4,3,0,115.43,182.72,10.62,23.26,12.66,2.047,1.02,22.2,63.9,0.632,2.19,agricultural_burning
5,1,5,1,99.06,141.45,15.44,57.37,29.96,0.644,0.25,9.2,63.5,0.7,3.716,seasonal_inversion
22,4,1,0,144.82,170.72,59.22,44.25,28.63,0.84,2.23,25.2,68.6,0.848,0.747,industrial
3,6,0,0,25.8,29.95,4.41,14.17,2.65,0.534,3.76,21.8,51.2,0.861,3.217,unknown
8,11,0,0,104.33,147.67,0.35,27.39,15.64,0.996,0.04,25.2,66.3,0.707,78.442,seasonal_inversion
14,10,2,0,28.94,37.24,5.92,29.74,20.88,0.485,7.97,29.3,68.0,0.777,5.023,unknown
9,4,1,0,26.11,39.35,6.11,26.1,11.09,0.422,2.79,39.5,73.4,0.664,4.275,unknown
9,12,3,0,114.23,273.25,10.21,18.01,6.26,1.515,4.43,42.5,21.2,0.418,1.764,agricultural_burning
7,12,4,0,46.4,85.5,9.34,69.16,37.31,3.485,1.82,32.0,21.9,0.543,7.405,vehicular
16,10,1,0,30.9,60.76,12.9,23.34,7.64,0.42,7.31,47.9,76.8,0.509,1.81,unknown
17,7,2,0,75.33,164.66,12.74,55.3,36.75,2.132,1.35,27.6,45.4,0.457,4.34,vehicular
